# lat lon Nways
25.4 -99.4 2
25.4 -99.2 1
25.4 -99 7
25.4 -98.8 12
25.4 -98.6 9
25.4 -98.4 0
25.4 -98.2 35
25.4 -98 23
25.4 -97.8 36
25.4 -97.6 0
25.4 -97.4 3
25.4 -97.2 0
25.4 -97 0
25.4 -96.8 0
25.4 -96.6 0
25.4 -96.4 0
25.4 -96.2 0
25.4 -96 0
25.4 -95.8 0
25.4 -95.6 0
25.4 -95.4 0
25.4 -95.2 0
25.4 -95 0
25.4 -94.8 0
25.4 -94.6 0
25.4 -94.4 0
25.4 -94.2 0
25.4 -94 0
25.4 -93.8 0
25.4 -93.6 0
25.4 -93.4 0
25.4 -93.2 0
25.4 -93 0
25.4 -92.8 0
25.4 -92.6 0
25.4 -92.4 0
25.4 -92.2 0
25.4 -92 0
25.4 -91.8 0
25.4 -91.6 0
25.4 -91.4 0
25.4 -91.2 0
25.4 -91 0
25.4 -90.8 0
25.4 -90.6 0
25.4 -90.4 0
25.4 -90.2 0
25.4 -90 0
25.4 -89.8 0
25.4 -89.6 0
25.4 -89.4 0
25.4 -89.2 0
25.4 -89 0
25.4 -88.8 0
25.4 -88.6 0
25.4 -88.4 0
25.4 -88.2 0
25.4 -88 0
25.4 -87.8 0
25.4 -87.6 0
25.4 -87.4 0
25.4 -87.2 0
25.4 -87 0
25.4 -86.8 0
25.4 -86.6 0
25.4 -86.4 0
25.4 -86.2 0
25.4 -86 0
25.4 -85.8 0
25.4 -85.6 0
25.4 -85.4 0
25.4 -85.2 0
25.4 -85 0
25.4 -84.8 0
25.4 -84.6 0
25.4 -84.4 0
25.4 -84.2 0
25.4 -84 0
25.4 -83.8 0
25.4 -83.6 0
25.4 -83.4 0
25.4 -83.2 0
25.4 -83 0
25.4 -82.8 0
25.4 -82.6 0
25.4 -82.4 0
25.4 -82.2 0
25.4 -82 0
25.4 -81.8 0
25.4 -81.6 0
25.4 -81.4 0
25.4 -81.2 0
25.4 -81 0
25.4 -80.8 14
25.4 -80.6 631
25.4 -80.4 3342
25.4 -80.2 157
25.4 -80 0
25.4 -79.8 0
25.4 -79.6 0
25.4 -79.4 0
25.4 -79.2 0
25.4 -79 0
25.4 -78.8 0
25.4 -78.6 0
25.4 -78.4 0
25.4 -78.2 0
25.4 -78 0
25.4 -77.8 0
25.4 -77.6 0
25.4 -77.4 0
25.4 -77.2 0
25.4 -77 0
25.4 -76.8 0
25.4 -76.6 0
25.4 -76.4 0
25.4 -76.2 0
25.4 -76 0
25.4 -75.8 0
25.4 -75.6 0
25.4 -75.4 0
25.4 -75.2 0
25.4 -75 0
25.4 -74.8 0
25.4 -74.6 0
25.4 -74.4 0
25.4 -74.2 0
25.4 -74 0
25.4 -73.8 0
25.4 -73.6 0
25.4 -73.4 0
25.4 -73.2 0
25.4 -73 0
25.4 -72.8 0
25.4 -72.6 0
25.4 -72.4 0
25.4 -72.2 0
25.4 -72 0
25.4 -71.8 0
25.4 -71.6 0
25.4 -71.4 0
25.4 -71.2 0
25.4 -71 0
25.4 -70.8 0
25.4 -70.6 0
25.4 -70.4 0
25.4 -70.2 0
25.4 -70 0
25.4 -69.8 0
25.4 -69.6 0
25.4 -69.4 0
25.4 -69.2 0
25.4 -69 0
25.4 -68.8 0
25.4 -68.6 0
25.4 -68.4 0
25.4 -68.2 0
25.4 -68 0
25.4 -67.8 0
25.4 -67.6 0
25.4 -67.4 0
25.4 -67.2 0
25.4 -67 0
25.4 -66.8 0
25.4 -66.6 0
25.4 -66.4 0
25.4 -66.2 0
25.6 -125 0
25.6 -124.8 0
25.6 -124.6 0
25.6 -124.4 0
25.6 -124.2 0
25.6 -124 0
25.6 -123.8 0
25.6 -123.6 0
25.6 -123.4 0
25.6 -123.2 0
25.6 -123 0
25.6 -122.8 0
25.6 -122.6 0
25.6 -122.4 0
25.6 -122.2 0
25.6 -122 0
25.6 -121.8 0
25.6 -121.6 0
25.6 -121.4 0
25.6 -121.2 0
25.6 -121 0
25.6 -120.8 0
25.6 -120.6 0
25.6 -120.4 0
25.6 -120.2 0
25.6 -120 0
25.6 -119.8 0
25.6 -119.6 0
25.6 -119.4 0
25.6 -119.2 0
25.6 -119 0
25.6 -118.8 0
25.6 -118.6 0
25.6 -118.4 0
25.6 -118.2 0
25.6 -118 0
25.6 -117.8 0
25.6 -117.6 0
25.6 -117.4 0
25.6 -117.2 0
25.6 -117 0
25.6 -116.8 0
25.6 -116.6 0
25.6 -116.4 0
25.6 -116.2 0
25.6 -116 0
25.6 -115.8 0
25.6 -115.6 0
25.6 -115.4 0
25.6 -115.2 0
25.6 -115 0
25.6 -114.8 0
25.6 -114.6 0
25.6 -114.4 0
25.6 -114.2 0
25.6 -114 0
25.6 -113.8 0
25.6 -113.6 0
25.6 -113.4 0
25.6 -113.2 0
25.6 -113 0
25.6 -112.8 0
25.6 -112.6 0
25.6 -112.4 0
25.6 -112.2 0
25.6 -112 2
25.6 -111.8 3
25.6 -111.6 2
25.6 -111.4 1
25.6 -111.2 1
25.6 -111 0
25.6 -110.8 0
25.6 -110.6 0
25.6 -110.4 0
25.6 -110.2 0
25.6 -110 0
25.6 -109.8 0
25.6 -109.6 0
25.6 -109.4 0
25.6 -109.2 33
25.6 -109 183
25.6 -108.8 188
25.6 -108.6 200
25.6 -108.4 1494
25.6 -108.2 270
25.6 -108 192
25.6 -107.8 126
25.6 -107.6 10
25.6 -107.4 22
25.6 -107.2 9
25.6 -107 24
25.6 -106.8 3
25.6 -106.6 0
25.6 -106.4 13
25.6 -106.2 15
25.6 -106 21
25.6 -105.8 22
25.6 -105.6 1
25.6 -105.4 27
25.6 -105.2 61
25.6 -105 31
25.6 -104.8 18
25.6 -104.6 30
25.6 -104.4 13
25.6 -104.2 41
25.6 -104 13
25.6 -103.8 15
25.6 -103.6 2915
25.6 -103.4 11731
25.6 -103.2 705
25.6 -103 317
25.6 -102.8 60
25.6 -102.6 79
25.6 -102.4 58
25.6 -102.2 89
25.6 -102 59
25.6 -101.8 92
25.6 -101.6 20
25.6 -101.4 142
25.6 -101.2 8
25.6 -101 1753
25.6 -100.8 258
25.6 -100.6 316
25.6 -100.4 8573
25.6 -100.2 14035
25.6 -100 2349
25.6 -99.8 91
25.6 -99.6 107
25.6 -99.4 13
25.6 -99.2 86
25.6 -99 6
25.6 -98.8 5
25.6 -98.6 2
25.6 -98.4 15
25.6 -98.2 45
25.6 -98 26
25.6 -97.8 828
25.6 -97.6 20
25.6 -97.4 1
25.6 -97.2 0
25.6 -97 0
25.6 -96.8 0
25.6 -96.6 0
25.6 -96.4 0
25.6 -96.2 0
25.6 -96 0
25.6 -95.8 0
25.6 -95.6 0
25.6 -95.4 0
25.6 -95.2 0
25.6 -95 0
25.6 -94.8 0
25.6 -94.6 0
25.6 -94.4 0
25.6 -94.2 0
25.6 -94 0
25.6 -93.8 0
25.6 -93.6 0
25.6 -93.4 0
25.6 -93.2 0
25.6 -93 0
25.6 -92.8 0
25.6 -92.6 0
25.6 -92.4 0
25.6 -92.2 0
25.6 -92 0
25.6 -91.8 0
25.6 -91.6 0
25.6 -91.4 0
25.6 -91.2 0
25.6 -91 0
25.6 -90.8 0
25.6 -90.6 0
25.6 -90.4 0
25.6 -90.2 0
25.6 -90 0
25.6 -89.8 0
25.6 -89.6 0
25.6 -89.4 0
25.6 -89.2 0
25.6 -89 0
25.6 -88.8 0
25.6 -88.6 0
25.6 -88.4 0
25.6 -88.2 0
25.6 -88 0
25.6 -87.8 0
25.6 -87.6 0
25.6 -87.4 0
25.6 -87.2 0
25.6 -87 0
25.6 -86.8 0
25.6 -86.6 0
25.6 -86.4 0
25.6 -86.2 0
25.6 -86 0
25.6 -85.8 0
25.6 -85.6 0
25.6 -85.4 0
25.6 -85.2 0
25.6 -85 0
25.6 -84.8 0
25.6 -84.6 0
25.6 -84.4 0
25.6 -84.2 0
25.6 -84 0
25.6 -83.8 0
25.6 -83.6 0
25.6 -83.4 0
25.6 -83.2 0
25.6 -83 0
25.6 -82.8 0
25.6 -82.6 0
25.6 -82.4 0
25.6 -82.2 0
25.6 -82 0
25.6 -81.8 0
25.6 -81.6 0
25.6 -81.4 0
25.6 -81.2 0
25.6 -81 4
25.6 -80.8 9
25.6 -80.6 458
25.6 -80.4 15021
25.6 -80.2 793
25.6 -80 0
25.6 -79.8 0
25.6 -79.6 0
25.6 -79.4 0
25.6 -79.2 0
25.6 -79 0
25.6 -78.8 0
25.6 -78.6 0
25.6 -78.4 0
25.6 -78.2 0
25.6 -78 0
25.6 -77.8 0
25.6 -77.6 0
25.6 -77.4 0
25.6 -77.2 0
25.6 -77 0
25.6 -76.8 0
25.6 -76.6 0
25.6 -76.4 0
25.6 -76.2 0
25.6 -76 0
25.6 -75.8 0
25.6 -75.6 0
25.6 -75.4 0
25.6 -75.2 0
25.6 -75 0
25.6 -74.8 0
25.6 -74.6 0
25.6 -74.4 0
25.6 -74.2 0
25.6 -74 0
25.6 -73.8 0
25.6 -73.6 0
25.6 -73.4 0
25.6 -73.2 0
25.6 -73 0
25.6 -72.8 0
25.6 -72.6 0
25.6 -72.4 0
25.6 -72.2 0
25.6 -72 0
25.6 -71.8 0
25.6 -71.6 0
25.6 -71.4 0
25.6 -71.2 0
25.6 -71 0
25.6 -70.8 0
25.6 -70.6 0
25.6 -70.4 0
25.6 -70.2 0
25.6 -70 0
25.6 -69.8 0
25.6 -69.6 0
25.6 -69.4 0
25.6 -69.2 0
25.6 -69 0
25.6 -68.8 0
25.6 -68.6 0
25.6 -68.4 0
25.6 -68.2 0
